,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
7004,lstm,181.04106777191163,153.90782771034588,12,2021-12-20,2022-01-08,3-step_ahead,12113,1917.0,0.0,0.0,77.23181550633885,181.04106777191163,284.8503200374844,378.28188532367403,482.6948670229853,1592.843594305894
7005,lstm,119.33870664596556,87.11768941044593,12,2021-12-27,2022-01-08,2-step_ahead,12113,1917.0,0.0,7.692895395380317,60.57871807785405,119.33870664596556,178.09869521407703,230.98451789655084,290.08624030678607,1717.0350016575562
7006,lstm,1136.9080419921875,159.4607964357775,12,2022-01-03,2022-01-08,1-step_ahead,12113,1917.0,824.3706240319905,932.550808676928,1029.3533692381516,1136.9080419921875,1244.4627147462234,1341.2652753074472,1449.4454599523847,633.1851951245516
65761,AR_spatial,251.27469012059257,31.953440204219014,12,2021-12-27,2022-01-01,1-step_ahead,12113,902.0,188.6470981381691,210.3247088023399,229.72242221934346,251.27469012059257,272.8269580218417,292.22467143884523,313.90228210301603,621.2875009112563
65762,AR_spatial,65.53940650520923,7.600815610599233,12,2021-12-20,2022-01-01,2-step_ahead,12113,902.0,50.64208165530491,55.79856936002994,60.41273428272967,65.53940650520923,70.66607872768878,75.28024365038851,80.43673135511355,829.4581750848503
65763,AR_spatial,86.25564130658314,7.624223866340232,12,2021-12-13,2022-01-01,3-step_ahead,12113,902.0,71.31243711848556,76.48480527461231,81.11318045553631,86.25564130658314,91.39810215763,96.02647733855395,101.19884549468071,808.720374913476
65764,AR_spatial,136.87711133868592,15.379443495913598,12,2021-12-06,2022-01-01,4-step_ahead,12113,902.0,106.73395598442647,117.16756144929312,126.5038343369724,136.87711133868592,147.25038834039944,156.58666122807873,167.02026669294537,750.9542383759093
65765,AR,53.43030717068902,0.5541211917148794,12,2021-12-27,2022-01-01,1-step_ahead,12113,902.0,52.344249591857434,52.72017228994538,53.0565581065109,53.43030717068902,53.804056234867154,54.14044205143266,54.5163647495206,848.0591965045758
65766,AR,170.5398640224416,8.284803109405384,12,2021-12-20,2022-01-01,2-step_ahead,12113,902.0,154.3019483090016,159.92246162735438,164.95184924275506,170.5398640224416,176.12787880212815,181.1572664175289,186.77777973588158,723.8275790536494
65767,AR,282.0149947387115,13.471659399485919,12,2021-12-13,2022-01-01,3-step_ahead,12113,902.0,255.6110275037286,264.7503685448167,272.9284985556256,282.0149947387115,291.10149092179745,299.2796209326063,308.41896197369437,607.5739429984621
65768,AR,57.898605227267545,2.5182222977810245,12,2021-12-06,2022-01-01,4-step_ahead,12113,902.0,52.96298021855103,54.67137349915695,56.200090098699036,57.898605227267545,59.59712035583607,61.12583695537814,62.83423023598405,841.7814271427172
65769,ARIMA,1.0,29.112702682247072,12,2021-12-27,2022-01-01,1-step_ahead,12113,902.0,0.0,0.0,0.0,1.0,20.636219559681624,38.309429699668215,58.05984874982689,871.4102845912732
65770,ARIMA,47.746366829487286,332.2534854242934,12,2021-12-13,2022-01-01,3-step_ahead,12113,902.0,0.0,0.0,0.0,47.746366829487286,271.8479372150964,473.54634123264054,698.9512319990062,520.4490586758648
65771,ARIMA,25.51998084919528,1598.3518773738758,12,2021-12-20,2022-01-01,2-step_ahead,12113,902.0,0.0,0.0,0.0,25.51998084919528,1103.591939344539,2073.890331588837,3158.2320951239726,285.8522371281486
65772,PatchSim_adpt,2009.0,664.668367346939,12,2021-12-27,2022-01-01,1-step_ahead,12113,902.0,706.273938336961,1157.1932132585566,1560.6879989449258,2009.0,2457.312001055075,2860.8067867414434,3311.7260616630388,550.5813923321315
